Invoice Number,Invoice Date,Invoice Type,Sales Return Number,Shipment Number,Sales Order Number,Customer Code,Party Group,Site,Rounded Amount,Invoice Status
965012712,04-06-2024,Bill of Supply,,86012918,330012925,100063,F ZONE,Spices,3937,Approved
965012734,07-06-2024,Bill of Supply,,86012940,330012948,100063,F ZONE,Spices,7874,Approved
910037906,03-06-2024,Tax Invoice,,800041763,200038025,100064,B ZONE,Spices,687597,Approved
920022007,03-06-2024,Tax Invoice,,802024570,210022547,100064,B ZONE,Pasta& Vermicelli,2622,Approved
910038009,07-06-2024,Tax Invoice,,800041864,200038127,100065,B ZONE,Spices,694829,Approved
920022066,07-06-2024,Tax Invoice,,802024634,210022609,100065,B ZONE,Pasta& Vermicelli,12880,Approved
910037954,05-06-2024,Tax Invoice,,800041804,200038071,100069,B ZONE,Spices,265538,Approved
920022037,05-06-2024,Tax Invoice,,802024593,210022571,100069,B ZONE,Pasta& Vermicelli,34763,Approved
910037908,03-06-2024,Tax Invoice,,800041767,200038000,100078,D ZONE,Spices,471316,Approved
910037978,06-06-2024,Tax Invoice,,800041838,200038086,100078,D ZONE,Spices,437451,Approved
920022023,04-06-2024,Tax Invoice,,802024571,210022548,100078,D ZONE,Pasta& Vermicelli,14367,Approved
920022054,06-06-2024,Tax Invoice,,802024610,210022586,100078,D ZONE,Pasta& Vermicelli,6440,Approved
965012707,03-06-2024,Bill of Supply,,86012915,330012922,100078,D ZONE,Spices,11799,Approved
965012726,06-06-2024,Bill of Supply,,86012932,330012939,100078,D ZONE,Spices,15732,Approved
910037916,03-06-2024,Tax Invoice,,800041773,200038034,100079,C ZONE,Spices,183492,Approved
920022011,04-06-2024,Tax Invoice,,802024574,210022550,100079,C ZONE,Pasta& Vermicelli,15778,Approved
949903609,04-06-2024,Tax Invoice,,813003764,407003726,100079,C ZONE,Tea,5273,Approved
910037992,06-06-2024,Tax Invoice,,800041856,200038117,100082,C ZONE,Spices,268741,Approved
920022063,07-06-2024,Tax Invoice,,802024625,210022599,100082,C ZONE,Pasta& Vermicelli,16489,Approved
965012730,06-06-2024,Bill of Supply,,86012937,330012944,100082,C ZONE,Spices,4771,Approved
910037966,05-06-2024,Tax Invoice,,800041823,200038084,100083,C ZONE,Spices,561836,Approved
910037981,06-06-2024,Tax Invoice,,800041833,200038097,100083,C ZONE,Spices,34259,Approved
910037945,04-06-2024,Tax Invoice,,800041797,200038061,100090,D ZONE,Spices,610997,Approved
920022036,05-06-2024,Tax Invoice,,802024589,210022569,100090,D ZONE,Pasta& Vermicelli,115690,Approved
910037939,04-06-2024,Tax Invoice,,800041794,200038056,100094,D ZONE,Spices,1962843,Approved
920022030,05-06-2024,Tax Invoice,,802024587,210022565,100094,D ZONE,Pasta& Vermicelli,43612,Approved
920022033,05-06-2024,Tax Invoice,,802024592,210022565,100094,D ZONE,Pasta& Vermicelli,63089,Approved
965012718,04-06-2024,Bill of Supply,,86012924,330012932,100094,D ZONE,Spices,55716,Approved
910038019,07-06-2024,Tax Invoice,,800041859,200038120,100096,MT Zone,Spices,184673,Approved
910038020,07-06-2024,Tax Invoice,,800041860,200038123,100096,MT Zone,Spices,65261,Approved
910037996,06-06-2024,Tax Invoice,,800041858,200038119,100104,A ZONE,Spices,31829,Approved
965012733,06-06-2024,Bill of Supply,,86012939,330012946,100104,A ZONE,Spices,3976,Approved
910037982,06-06-2024,Tax Invoice,,800041847,200038109,100105,A ZONE,Spices,93109,Approved
910037909,03-06-2024,Tax Invoice,,800041740,200038002,100109,E ZONE,Spices,332697,Approved
920022027,04-06-2024,Tax Invoice,,802024551,210022528,100109,E ZONE,Pasta& Vermicelli,39060,Approved
965012708,03-06-2024,Bill of Supply,,86012909,330012916,100109,E ZONE,Spices,7952,Approved
910037910,03-06-2024,Tax Invoice,,800041756,200038023,100126,E ZONE,Spices,868406,Approved
920022000,03-06-2024,Tax Invoice,,802024552,210022529,100126,E ZONE,Pasta& Vermicelli,528359,Approved
920022008,03-06-2024,Tax Invoice,,802024566,210022533,100126,E ZONE,Pasta& Vermicelli,9440,Approved
920022018,04-06-2024,Tax Invoice,,802024567,210022543,100126,E ZONE,Pasta& Vermicelli,24204,Approved
910038012,07-06-2024,Tax Invoice,,800041871,200038136,100128,A ZONE,Spices,156004,Approved
965012735,07-06-2024,Bill of Supply,,86012941,330012951,100128,A ZONE,Spices,3976,Approved
910037935,04-06-2024,Tax Invoice,,800041788,200038049,100130,E ZONE,Spices,1085526,Approved
920022026,04-06-2024,Tax Invoice,,802024585,210022563,100130,E ZONE,Pasta& Vermicelli,7617,Approved
949903613,04-06-2024,Tax Invoice,,813003768,407003730,100130,E ZONE,Tea,4464,Approved
